common_name2,age_class2,sex2,mean_wt,sd,n,source
NORTHERN FUR SEAL,UNKNOWN,U,20.08705396,21.69671339,1,from spp avg
NORTHERN FUR SEAL,YEARLING,F,4.78,,1,
NORTHERN FUR SEAL,YEARLING,M,5,,1,
NORTHERN RIGHT WHALE,ADULT,M,106.367324,25.97977631,3,
NORTHERN RIGHT WHALE,SUBADULT,M,73.255108,3.52811777,2,
NORTHERN RIGHT WHALE,UNKNOWN,M,89.811216,23.41387247,1,from male avg
NORTHERN RIGHT WHALE,UNKNOWN,U,89.811216,23.41387247,2,
OLIVE RIDLEY SEA TURTLE,ADULT,F,66,12.72792206,2,
OLIVE RIDLEY SEA TURTLE,ADULT,M,50,,1,
OLIVE RIDLEY SEA TURTLE,SUBADULT,U,50,,1,
PACIFIC WHITE-SIDED DOLPHIN,ADULT,F,172,,1,from unknown f
PACIFIC WHITE-SIDED DOLPHIN,ADULT,U,172,,1,from unknown f
PACIFIC WHITE-SIDED DOLPHIN,SUBADULT,F,31.3,,1,
PACIFIC WHITE-SIDED DOLPHIN,UNKNOWN,F,172,,3,
PACIFIC WHITE-SIDED DOLPHIN,UNKNOWN,M,101.65,,3,
PACIFIC WHITE-SIDED DOLPHIN,UNKNOWN,U,101.65,NA,3,
PYGMY SPERM WHALE,UNKNOWN,F,800,,1,from unknown m
PYGMY SPERM WHALE,UNKNOWN,M,800,,1,
PYGMY SPERM WHALE,UNKNOWN,U,800,,1,from unknown m
RISSO'S DOLPHIN,ADULT,F,900,141.4213562,2,from female avg
RISSO'S DOLPHIN,ADULT,M,900,141.4213562,1,from female avg
RISSO'S DOLPHIN,ADULT,U,900,141.4213562,2,
RISSO'S DOLPHIN,PUP/CALF,F,77.564232,,1,from unknown f
RISSO'S DOLPHIN,PUP/CALF,U,77.564232,,1,
RISSO'S DOLPHIN,UNKNOWN,F,77.564232,,3,
RISSO'S DOLPHIN,UNKNOWN,U,900,141.4213562,6,from female avg
SEA OTTER,ADULT,M,21.3198,1.923047602,2,
SHORT BEAKED COMMON DOLPHIN,ADULT,M,101.1796,,1,
SHORT BEAKED COMMON DOLPHIN,SUBADULT,M,83.46,,1,
SHORT BEAKED COMMON DOLPHIN,UNKNOWN,F,101.1796,,1,from male avg
SHORT BEAKED COMMON DOLPHIN,UNKNOWN,M,101.1796,,1,from male avg
SHORT BEAKED COMMON DOLPHIN,ADULT,F,101.1796,,2,from male avg
SHORT BEAKED COMMON DOLPHIN,PUP/CALF,F,72,,1,
SHORT BEAKED COMMON DOLPHIN,UNKNOWN,U,93.36306667,12.63996931,1,from spp avg
SPERM WHALE,ADULT,F,14061,,1,wikipedia adult female
SPERM WHALE,PUP/CALF,M,907,,1,American Cetacean Society
STELLAR SEA LION,ADULT,M,272.1552,,1,
STELLAR SEA LION,YEARLING,F,55.791816,,1,
STELLAR SEA LION,YEARLING,M,77.11064,,1,
STRIPED DOLPHIN,ADULT,M,204,,1,from unknown m
STRIPED DOLPHIN,ADULT,U,204,,1,
STRIPED DOLPHIN,PUP/CALF,M,9.07184,,1,
STRIPED DOLPHIN,SUBADULT,M,98,,1,
STRIPED DOLPHIN,UNKNOWN,M,204,,2,
UNIDENTIFIED,ADULT,M,20,,1,
UNIDENTIFIED COMMON DOLPHIN,ADULT,F,248,83.43860018,4,
UNIDENTIFIED COMMON DOLPHIN,ADULT,M,279.2,191.8689657,16,
UNIDENTIFIED COMMON DOLPHIN,ADULT,U,263.6,,2,from m/f average
UNIDENTIFIED COMMON DOLPHIN,PUP/CALF,M,40.23207644,,1,from common dolphin average
UNIDENTIFIED COMMON DOLPHIN,SUBADULT,F,63.502416,,1,from common dolphin average
UNIDENTIFIED COMMON DOLPHIN,SUBADULT,M,63.502416,,1,from common dolphin average
UNIDENTIFIED COMMON DOLPHIN,SUBADULT,U,63.502416,,1,from common dolphin average
UNIDENTIFIED COMMON DOLPHIN,UNKNOWN,F,175,,3,
UNIDENTIFIED COMMON DOLPHIN,UNKNOWN,M,126.3333333,83.07747388,10,
UNIDENTIFIED COMMON DOLPHIN,UNKNOWN,U,294.0631,245.18863,20,
UNIDENTIFIED COMMON DOLPHIN,YEARLING,M,35.31026533,,1,from common dolphin average
UNIDENTIFIED COMMON DOLPHIN,YEARLING,U,35.31026533,,1,from common dolphin average
UNIDENTIFIED DOLPHIN,ADULT,M,136.0776,,1,
UNIDENTIFIED DOLPHIN,PUP/CALF,U,42.79301622,,1,from dolphin average
UNIDENTIFIED DOLPHIN,SUBADULT,M,63.50288,,1,
UNIDENTIFIED DOLPHIN,UNKNOWN,M,136.0776,,1,
UNIDENTIFIED DOLPHIN,UNKNOWN,U,143.0388,9.84462345,24,
UNIDENTIFIED PINNIPED,ADULT,U,131.71648,102.5369099,16,
UNIDENTIFIED PINNIPED,PUP/CALF,U,24.60435571,,1,from seal average
UNIDENTIFIED PINNIPED,SUBADULT,U,122.6796,109.3475583,2,
UNIDENTIFIED PINNIPED,UNKNOWN,U,138.8631992,104.029511,120,
UNIDENTIFIED PINNIPED,YEARLING,U,21.54562,1.603689895,4,
UNIDENTIFIED PORPOISE,UNKNOWN,U,78.80807333,,1,from porp average
UNIDENTIFIED SEA LION,ADULT,F,43.09124,,1,
UNIDENTIFIED SEA LION,ADULT,U,115.66596,59.89017793,4,
UNIDENTIFIED SEA LION,SUBADULT,U,45.3592,,1,
UNIDENTIFIED SEA LION,UNKNOWN,U,59.874144,69.04439098,5,
UNIDENTIFIED SEA LION,YEARLING,U,39.6893,14.63961885,4,
UNIDENTIFIED WHALE,ADULT,U,34849.42529,,1,from whale average
UNIDENTIFIED WHALE,UNKNOWN,F,34849.42529,,1,from whale average
UNIDENTIFIED WHALE,UNKNOWN,U,34849.42529,,10,from whale average
,,,,,,
,,SUM ALL BIOMASS,1200784.59,TOTAL DEAD,6098,7322384429
