Source,Paper Title,Author,Year,Empirical Data?,Subsidy Category,Resource Subsidy,Vector (taxon or phenomenon) Group,Specific Vector,Biotic or Abiotic?,Recipient taxon or habitat,Subgroups Yes,Ecotone/Ecosystem Boundary,Climate Zone,Mediterannean Yes,Continent,Country,Lat/Lon,Experimental Component Yes,Start Year,End Year,Your Initials
Subalusky,Adfluvial salmonids have engineering but not fertilization impacts in tributaries of a central Utah reservoir,Wheeler et al,2017,Yes,,Fish Excreted N and P,fish,Oncorhynchus clarkii utah,Biotic,Tributaries - algae,No,Freshwater - Freshwater,Temperate,No,North America,USA,"40.1718288,-111.1294997",No,2011,2012,ZZ
Subalusky,Adfluvial salmonids have engineering but not fertilization impacts in tributaries of a central Utah reservoir,Wheeler et al,2017,Yes,,Fish Excreted N and P,fish,Oncorhynchus nerka,Biotic,Tributaries - algae,No,Freshwater - Freshwater,Temperate,No,North America,USA,"40.1718288,-111.1294998",No,2011,2012,ZZ
Subalusky,Advancing research on animal-transported subsidies by integrating animal movement and ecosystem modelling,Earl and Zollner,2017,No,,,,,,,,,,,,,,,,,FL
Mulder,Air pollution and forest decline in a spruce (Picea abies) forest,"Schulze, F.D.",1989,No,,,,,,,,,,,,,,,,,
Subalusky,Allochthonous Subsidy of Periodical Cicadas Affects the Dynamics and Stability of Pond Communities,Nowlin et al.,2007,Yes,,Cicada detritus,Insect,Brood X cicada,Biotic,Pond and stream,No,Terrestrial - Freshwater,Humid subtropical,No,North America,United States,"39.5, -84.7",Yes,2004,2004,FL
Mulder,Alteration of the breeding habitat by sea-birds and seals in western Australia,"Gillham, M.E.",1961,No,,,,,,,,,,,,,,,,,
MacInturf,Ammonia nitrogen dynamics in coastal rockpools affected by gull guano,Loder et al.,1996,Yes,,Seabird Guano(Nitrogen and Phosphorus),Seabirds,Herring Gulls(Larus argentatus),Biotic,Soil/Sediment,Yes,Marine - Terrestrial,Temperate,No,North America,USA,"42.9914, -70.6166",Yes,1984,1986,JB
MacInturf,Ammonia nitrogen dynamics in coastal rockpools affected by gull guano,Loder et al.,1996,Yes,,Seabird Guano(Nitrogen and Phosphorus),Seabirds,Black-Backed Gulls(Larus marinus),Biotic,Soil/Sediment,Yes,Marine - Terrestrial,Temperate,No,North America,USA,"42.9914, -70.6167",Yes,1984,1986,JB
Mulder,Ammonia volatilization and high 15N/14N in a penguin rookery in antarctica,"Mizutani, H. et al",1985,Cannot access article,,,,,,,,,,,,,,,,,
Seabird Chapter,An introduced predator alters Aleutian Island plant communities by thwarting nutrient subsidies,"Maron, J.L., et al",2006,Yes,,Seabird Guano,Seabird,seabirds,Biotic,island vegetation + consumers,no,Marine - Terrestrial,Island,No,North America,USA,"52.259591, -172.569770",No,2001,2003,ZZ
Subalusky,Anadromous alewives (Alosa pseudoharengus) contribute marine-derived nutrients to coastal stream food web,Walters et al,2009,Yes,fish derived,Anadromous Fish Excretions and Carcasses(N and P),Fish,Alewife,Biotic,Periphyton,Yes,Marine - Freshwater,Temperate,No,North America,USA,"41.1928, -72.1426",Yes,2003,2006,JB
Subalusky,Anadromous alewives (Alosa pseudoharengus) contribute marine-derived nutrients to coastal stream food web,Walters et al,2009,Yes,fish derived,Anadromous Fish Excretions and Carcasses(N and P),Fish,Alewife,Biotic,Aquatic Insects,Yes,Marine - Freshwater,Temperate,No,North America,USA,"41.1928, -72.1427",Yes,2003,2006,JB
Subalusky,Anadromous alewives (Alosa pseudoharengus) contribute marine-derived nutrients to coastal stream food web,Walters et al,2009,Yes,fish derived,Anadromous Fish Excretions and Carcasses(N and P),Fish,Alewife,Biotic,leaves,Yes,Marine - Terrestrial,Temperate,No,North America,USA,"41.1928, -72.1428",Yes,2003,2006,JB
Subalusky,Animal Migration: A Synthesis,Milner-Gulland et al.,2011,No,,,,,,,,,,,,,,,,,FL
MacInturf,Animal-plant-soil nutrient relationships on Marion Island (Subantarctic),Smith,1978,Yes,,"Seabird Guano(Nitrogen, Phosphorus, Metals)",Seabirds,Wandering Albatross,Biotic,Plants/Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.9132, 37.8862",Yes,1973,1974,JB
MacInturf,Animal-plant-soil nutrient relationships on Marion Island (Subantarctic),Smith,1978,Yes,,"Seabird Guano(Nitrogen, Phosphorus, Metals)",Seabirds,Giant Petrel,Biotic,Plants/Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.9132, 37.8863",Yes,1973,1974,JB
MacInturf,Animal-plant-soil nutrient relationships on Marion Island (Subantarctic),Smith,1978,Yes,,"Seabird Guano(Nitrogen, Phosphorus, Metals)",Seabirds,King Penguin,Biotic,Plants/Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.9132, 37.8864",Yes,1973,1974,JB
MacInturf,Animal-plant-soil nutrient relationships on Marion Island (Subantarctic),Smith,1978,Yes,,"Seabird Guano(Nitrogen, Phosphorus, Metals)",Seabirds,Gentoo Penguin,Biotic,Plants/Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.9132, 37.8865",Yes,1973,1974,JB
MacInturf,Animal-plant-soil nutrient relationships on Marion Island (Subantarctic),Smith,1978,Yes,,"Seabird Guano(Nitrogen, Phosphorus, Metals)",Seabirds,Dominican Gulls,Biotic,Plants/Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.9132, 37.8866",Yes,1973,1974,JB
MacInturf,Animal-plant-soil nutrient relationships on Marion Island (Subantarctic),Smith,1978,Yes,,"Seal manure(Nitrogen, Phosphorus, Metals)",Mammal,Elephant Seal,Biotic,Plants/Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.9132, 37.8867",Yes,1973,1974,JB
Subalusky,Annual mass drownings of the Serengeti wildebeest migration influence nutrient cycling and storage in the Mara River,Subalusky et al,2017,Yes,,"Drowned wildebeest carcasses (N, C, P)",Mammal,Wildebeest,Biotic,River,No,Terrestrial - Freshwater,Temperate subtropical,No,Africa,Kenya,"-1.60, 35.0",Yes,2011,2014,FL
Mulder,Anthropoogenic impacts upon plant species richness and net primary productivity in California.,"Williams, J.W., et al",2005,No,,,,,,,,,,,,,,,,,
MacInturf,Arctic Seabirds Transport Marine-Derived Contaminants,Blais et al.,2005,Yes,,Seabird Guano(Nitrogen),Seabirds,"northern fulmars(Fulmarus
glacialis)",biotic,Pond Sediment,No,Marine - Freshwater,Arctic,No,North America,Canada,"76.15, -89.15",Yes,Unspecified,Unspecified,JB
Subalusky,Are inland wolf-ungulate systems influenced by marine subsidies of Pacific salmon?,Adams et al.,2010,Yes,,"Pacific salmon (N, C)",Fish,Pacific salmon,Biotic,Upland region wolves,Yes,Marine - Terrestrial,Subarctic,No,North America,United States,"63.1, -151.2",Yes,1986,2002,FL
Subalusky,Are inland wolf-ungulate systems influenced by marine subsidies of Pacific salmon?,Adams et al.,2010,Yes,,"Pacific salmon (N, C)",Fish,Pacific salmon,Biotic,Northwestern flats wolves,No,Marine - Terrestrial,Subarctic,No,North America,United States,"63.1, -151.3",Yes,1986,2002,FL
Subalusky,Are Large Herbivores Vectors of Terrestrial Subsidies for Riverine Food Webs?,Masese et al.,2015,Yes,,"Large herbivore (N, C)",Mammal,"Large herbivores (hippo, livestock)",Biotic,Riverine ecosystem,No,Terrestrial - Freshwater,Temperate subtropical,No,Africa,Kenya,"-1.60, 35.0",Yes,2011,2012,FL
Subalusky,Assessing the Causes of Late Pleistocene Extinctions on the Continents,Barnosky et al.,2004,No,,,,,,,,,,,,,,,,,FL
Mulder,Atmospheric concentrations of ammonia and nitrogen dioxide at a tropical coral cay with high seabird density,"Schmidt, S., et al",2010,Yes,,Guano (NO),Seabirds,Unspecified,Biotic,Coral,No,Marine - Terrestrial,Subtropical,No,South Pacific Ocean,Coral Sea,"-23.450000, 155.916667",Yes,2004,2007,KH
Mulder,Atmospheric nitrogen is a reliable standard for natural 15N abundance measurements,"Mariotti, A",1983,No,,,,,,,,,,,,,,,,,
Subalusky,Benefiting from a migratory prey: spatio-temporal patterns in allochthonous subsidization of an arctic predator,Giroux et al.,2012,Yes,,Lemmings prey,Mammal,Lemmings (Lemmus trimucronatus & Dicrostonyx groenlandicus),Biotic,Arctic fox,Yes,Terrestrial - Terrestrial,Arctic,No,North America,Canada,"72.9, -78.9",Yes,1996,2005,FL
Subalusky,Benefiting from a migratory prey: spatio-temporal patterns in allochthonous subsidization of an arctic predator,Giroux et al.,2012,Yes,,Migratory geese prey,Bird,Greater snow geese,Biotic,Arctic fox,,Terrestrial - Terrestrial,Arctic,No,North America,Canada,"72.9, -78.10",Yes,1996,2005,FL
Subalusky,Biogeochemical Hot Spots and Hot Moments at the Interface of Terrestrial and Aquatic Ecosystems,McClain et al.,2003,No,,,,,,,,,,,,,,,,,FL
MacInturf,Biomass Transfer Subsidizes Nitrogen to Offshore Food Webs,Nelson et al.,2013,No,,,,,,,,,,,,,,,,,JB
Mulder,Biopedturbation by an island ecosystem engineer: burrowing volumes and litter deposition by sooty shearwaters,"McKechnie, S.",2006,Yes,habitat,Burrowing,Seabirds,Unspecified,Biotic,Vegetation,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-48.916667, 166.600000",No,2003,2003,KH
Mulder,Biopedturbation by an island ecosystem engineer: burrowing volumes and litter deposition by sooty shearwaters,"McKechnie, S.",2006,Yes,habitat,Burrowing,Seabirds,Unspecified,Biotic,Vegetation,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-48.916667, 168.233333",No,2003,2003,
Mulder,Biopedturbation by an island ecosystem engineer: burrowing volumes and litter deposition by sooty shearwaters,"McKechnie, S.",2006,Yes,habitat,Burrowing,Seabirds,Unspecified,Biotic,Vegetation,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-47.216667, 167.383333",No,2003,2003,
Seabird Chapter,Bottom-up dynamics of allochthonous input: Direct and indirect effects of seabirds on islands,"Sanchez-Pinero, F. and Polis, G.A.",2000,Yes,,Seabird guano,Seabird,Unspecified,Biotic,Beetles,No,Marine - Terrestrial,Mediteranean/Arid,No,North America,Mexico,"28.950000, -113.466667",No,1995,1997,KH
Seabird Chapter,Bottom-up trophic cascades and material transfer interrestrial food webs,"Kagata, H and T. Ohgushi",2006,No,,,,,,,,,,,,,,,,,
Subalusky,Brown bears selectively kill salmon with higher energy content but only in habitats that facilitate choice,Gende et al.,2004,Yes,,Salmon prey,Fish,Pacific salmon,Biotic,Brown bears,No,Marine - Terrestrial,Subarctic,No,North America,United States,"59.6, -159",Yes,1995,2001,FL
Seabird Chapter,"Burrow use and population densities of tuatara (Spenodon punctatus) and how they are infuenced by fairy prions (Pachyptila turtur) on Stephens Island, New Zealand","Newman, D.G.",1987,Yes,,,Tuatara,Sphenodon punctatus,Biotic,Fairy Prions,No,Marine - Terrestrial,Oceanic,No,Oceania,New Zealand,"-40.666667, 174.000000",No,1975,1980,KH
Mulder,"Burrowing seabirds and reptiles: impacts on seeds, seedlings, and soils in an island forest in New Zealand","Mulder, C.P.H. and S.N. Keall",2001,Yes,,"Guano (P, N)",Seabirds and Tuatara,Unspecified,Biotic,Macropiper excelsum,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-40.666667, 174.000000",No,1998,1998,KH
Mulder,"Burrowing seabirds and reptiles: impacts on seeds, seedlings, and soils in an island forest in New Zealand","Mulder, C.P.H. and S.N. Keall",2001,Yes,,"Guano (P, N)",Seabirds and Tuatara,Unspecified,Biotic,Coprosma repens,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-40.666667, 174.000001",No,1998,1998,KH
Mulder,"Burrowing seabirds and reptiles: impacts on seeds, seedlings, and soils in an island forest in New Zealand","Mulder, C.P.H. and S.N. Keall",2001,Yes,,"Guano (P, N)",Seabirds and Tuatara,Unspecified,Biotic,Melicytus,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-40.666667, 174.000002",No,1998,1998,KH
Subalusky,Carbon and nitrogen mineralization from decomposing gypsy moth frass,Lovett and Ruesink,1995,Yes,,"Gypsy moth frass (N, C)",Plant,Gypsy moth frass,Biotic,Soil & microbes,No,Terrestrial - Terrestrial,Mesocosms in lab,No,North America,United States,N/A,Yes,1993,1993,FL
Subalusky,Carbon stable isotopes suggest that hippopotamus-vectored nutrients subsidize aquatic consumers in an East African river,McCauley et al.,2015,Yes,,Hippopotamus dung (C),Mammal,Hippopotamus,Biotic,River,No,Terrestrial - Freshwater,Temperate subtropical,No,Africa,Kenya,"0.32, 36.9",Yes,2012,2012,FL
Subalusky,Caribou and the North: A Shared Future,Hummel and Ray,2008,No,,,,,,,,,,,,,,,,,FL
Subalusky,Carrion cycling in food webs: comparisons among terrestrial and marine ecosystems,Beasley et al.,2012,No,,,,,,,,,,,,,,,,,FL
Seabird Chapter,Caterpillars benefit from thermal ecosystem engineering by wandering albatrosses on sub-Antarctic Marion Island,"Sinclair, B.J.",2006,Yes,,Nutrients (from seabird nests),Seabirds,Wandering albatrosses (Diomedea exulans),Abiotic,Invertebrates,No,Marine - Terrestrial,Oceanic,No,South Africa,Marion Island,"30.3730, -81.5495",No,1997,1997,KH
MacInturf,Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,,"Seabird Guano(N, P, heavy metals)",Seabirds,Blue Petrel(Halobaena caerulea),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.45",Yes,1982,1983,JB
MacInturf,Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,,"Seabird Guano(N, P, heavy metals)",Seabirds,Softplumaged Petrel (Pterodroma mollis),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.46",Yes,1982,1983,JB
MacInturf,Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,,"Seabird Guano(N, P, heavy metals)",Seabirds,Greatwinged Petrel (P. macroptera),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.47",Yes,1982,1983,JB
MacInturf,Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,,"Seabird Guano(N, P, heavy metals)",Seabirds,Grey Petrel (Procellaria cinerea),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.48",Yes,1982,1983,JB
MacInturf,Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,,"Seabird Guano(N, P, heavy metals)",Seabirds,Whitechinned Petrel (P. aequinoctialis),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.49",Yes,1982,1983,JB
Seabird Chapter,Colonial seabirds change beetles assemblages on a Mediterranean island,"Orgeas, J., et al",,Yes,seabird guano,guano,Beetles,Unspecified,Biotic,Yellow-legged gull,No,Marine - Terrestrial,Mediteranean,Yes,Europe,France,"43.000000, 6.416667",No,2001,2001,KH
Seabird Chapter,Communities and Ecosystems,"Whittack, R.H.",1975,No,,,,,,,,,,,,,,,,,
Subalusky,Comparing Resource Pulses in Aquatic and Terrestrial Ecosystems,Nowlin et al.,2008,No,,,,,,,,,,,,,,,,,FL
Subalusky,Complex life cycles,Wilbur,1980,No,,,,,,,,,,,,,,,,,
Seabird Chapter,Consequences of nitrogen and phosphorus limitation for the performance of two planthoppers with divergent life-history strategies,"Huberty, A.F. and R.F. Denno",2006,Yes,,N and P,Insects,Unspecified,Abiotic,Soil,No,Marine - Terrestrial,Moderate,No,North America,USA,"39.513333, -74.316667",Yes,2000,2000,KH
Subalusky,Consumer Regulation of Nutrient Cycling,Kitchell et al.,1979,No,,,,,,,,,,,,,,,,,FL
Subalusky,Consumer-driven nutrient dynamics in freshwater ecosystems: from individuals to ecosystems,Atkinson et al.,2017,No,,,,,,,,,,,,,,,,,FL
MacInturf,Context dependency of animal resource subsidies: Context dependency of animal resource subsidies,"Subalusky, Post",2019,No,,,,,,,,,,,,,,,,,JB
Mulder,Contribution of alien and indigenous species to plant-community assemblages near penguin rookeries at Crozet archipelago,"Vidal, E., et al",2003,Yes,,Guano and Salt,Seabirds,King Penguins,Biotic,Insula flora,No,Terrestrial - Terrestrial,Oceanic,No,South Indian Ocean,N/A,"-46.416667, 51.850000",No,N/A,N/A,KH
Subalusky,Contributions to the ecology of Spitsbergen and Bear Island,SummerhaYes,1923,No,,,,,,,,,,,,,,,,,FL
Subalusky,Cool tadpoles from Arctic environments waste fewer nutrients – high gross growth efficiencies lead to low consumer-mediated nutrient recycling in the North,Liess et al.,2015,Yes,,No relation to subsidies (tadpole nutrient retention),,,,,,,,,,,,,,,FL
Mulder,Correlations between carbon isotope ratio and microhabitat in desert plants,"Ehleringer, J.R. and T.A. Cooper",1988,Yes,,Carbon,Desert Plants,Unspecified,Biotic,Soil,No,Terrestrial - Terrestrial,Desert,No,North America,USA,"34.950000, -114.416667",No,N/A,N/A,KH
Subalusky,Crocodiles and the nutrient metabolism of Amazonian waters,Fittkau,1973,Yes,other guano,"Caiman excretion/egestion (N, P, Ca, Mg, Na, K)",Reptile,Caiman (Caiman crocodilus),Biotic,River,Yes,Freshwater - Freshwater,Tropical,No,South America,Amazon River,"-15.5, -71.7",Yes,1967,1971,FL
Subalusky,Cross-ecosystem fluxes: Export of polyunsaturated fatty acids from aquatic to terrestrial ecosystems via emerging insects,Martin-Creuzburg et al.,2017,Yes,,Emerging aquatic insects (polyunsaturated fatty acids),Insect,Emerging aquatic insects (mostly midges),biotic,Riparian ecosystem,No,Freshwater - Terrestrial,Humid continental,No,Europe,Germany,"47.6, 9.47",Yes,2015,2015,FL
Subalusky,Crossing habitat boundaries: coupling dynamics of ecosystems through complex life cycles.,Schrieber and Rudolf,2008,No,,,,,,,,,,,,,,,,,FL
Subalusky,"Cues, strategies, and outcomes: how migrating vertebrates track environmental change",Winkler et al,2014,No,,,,,,,,,,,,,,,,,
Mulder,Decline of acid-sensitive plant species in healthland can be attributed to ammonium toxicity in combination with low pH,"van den Berg, Leon J., et al",2005,Yes,fixed nutrients,Ammonium/N,Various Plant spcies,A. dioica,Biotic,Soil,Yes,Terrestrial - Terrestrial,Oceanic,No,Europe,Germany,LABORATORY,Yes,,,
Mulder,Decline of acid-sensitive plant species in healthland can be attributed to ammonium toxicity in combination with low pH,"van den Berg, Leon J., et al",2005,Yes,fixed nutrients,Ammonium/N,Various Plant spcies,G. pneumonathe,Biotic,Soil,Yes,Terrestrial - Terrestrial,Oceanic,No,Europe,Netherlands,"52.800000, 5.883333",,,,
Mulder,Decline of acid-sensitive plant species in healthland can be attributed to ammonium toxicity in combination with low pH,"van den Berg, Leon J., et al",2005,Yes,fixed nutrients,Ammonium/N,Various Plant spcies,S.pratensis,Biotic,Soil,Yes,Terrestrial - Terrestrial,Oceanic,No,Europe,Netherlands,"52.800000, 5.883333",,,,
Mulder,Decline of acid-sensitive plant species in healthland can be attributed to ammonium toxicity in combination with low pH,"van den Berg, Leon J., et al",2005,Yes,fixed nutrients,Ammonium/N,Various Plant spcies,C. vulgaris,Biotic,Soil,Yes,Terrestrial - Terrestrial,Oceanic,No,Europe,Netherlands,"51.783333, 5.883333",,,,
Mulder,Decline of acid-sensitive plant species in healthland can be attributed to ammonium toxicity in combination with low pH,"van den Berg, Leon J., et al",2005,Yes,fixed nutrients,Ammonium/N,Various Plant spcies,D. flexuosa,Biotic,Soil,Yes,Terrestrial - Terrestrial,Oceanic,No,Europe,Netherlands,"51.783333, 5.883333",,,,
Subalusky,Declines in benthic macroinvertebrate community metrics and microphytobenthic biomass in an estuarine lake following enrichment by hippo dung,Dawson et al.,2016,Yes,,Hippopotamus dung,Mammal,Hippopotamus,Biotic,Creek (St. Lucia Estuary),No,Terrestrial - Freshwater,Tropical,No,Africa,South Africa,"-28.4, 32.4",Yes,2014,2014,FL
Subalusky,Defaunation in the Anthropocene,Dirzo et al.,2014,No,,,,,,,,,,,,,,,,,FL
Subalusky,"Detritus, trophic dynamics, and biodiversity",Moore et al.,2004,No,,,,,,,,,,,,,,,,,FL
Subalusky,Deviation from strict homeostasis across multiple trophic levels in an invertebrate consumer assemblage exposed to high chronic phosphorus enrichment in a Neotropical stream.,Small and Pringle,2010,Yes,,Phosphorous,Phosphorous,Phosphorous,Abiotic,Stream,No,n/a,Tropical,No,North America,Costa Rica,"10.4, -84.0",Yes,2006,2007,FL
Subalusky,"Dietary influences on production, stoichiometry and decomposition of particulate wastes from shredders",Halvorson et al.,2015,Yes,fish derived,"Aquatic shredder egestion/excretion (N, P)",Insect,"Shredders (caddisfly, crane fly larvae) consuming oak/maple litter",Biotic,Aquatic (stream) habitats,No,Freshwater - Freshwater,Done in lab but wild-caught larvae,No,North America,United States,"36.6, -93.1",Yes,2012,2013,FL
Mulder,Differential effects of ammonium and nitrate on three heathland species,"de Graaf, M.C.C., et al",1998,Yes,,Nitrogen/Ammonia,Plants,Arnica Montana,Biotic,Soil,Yes,Lab setting,Maritime,No,Europe,Netherlands,LABORATORY,Yes,N/A,N/A,KH
Mulder,Differential effects of ammonium and nitrate on three heathland species,"de Graaf, M.C.C., et al",1998,Yes,,Nitrogen/Ammonia,Plants,Cirsium dissectum,Biotic,Soil,Yes,Lab setting,Maritime,No,Europe,Netherlands,LABORATORY,Yes,N/A,N/A,KH
Subalusky,Differential use of salmon by vertebrate consumers: implications for conservation,Levi et al.,2015,Yes,,Pacific salmon,Fish,"Pacific salmon (sockeye, chum, pink)",Biotic,"Vertebrates (eagle, gull, raven, brown/black bear)",No,Marine - Terrestrial,Continental subarctic,No,North America,United States,"59.3, -135.5",Yes,2011,2013,FL
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.85",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.86",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.87",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.88",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.89",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.90",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.91",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.92",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.93",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.94",No,2004,2005,KH
