Common Name,County,City,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Flag,Group Type: UME,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Other Findings upon Level Y/N,Other Findings - Illness,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,SW Other Findings Type,Observation Date,How Observed,Observation Status,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transfer to Rehab,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD,Condition Other,Condition Other Description,Condition Comments,Sex,Age Class,Whole Carcass,Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Other Collection Comments,Necropsied,Necropsy Limited Flag,Date of Necropsy,Additional Remarks
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,LEADBETTER BEACH,34.401,decimal degrees,actual,-119.6998,decimal degrees,actual,GPS,N,Y,Y,CBD,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,,,7/6/07,Beach or Land,Advanced Decomposition,11/28/07,Advanced Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF,Y,N,107,cm,actual,27,lb,actual,N,N,N,N,N,,,Y,N,N,N,,,N,,,
"Dolphin, common, long-beaked",Santa Barbara,GOLETA,"BACARA RESORT, AT 8301 HOLLISTER AVENUE",34 25.89,decimal degrees,actual,119 55.07,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,,,9/18/09,Beach or Land,Alive,9/18/09,Alive,N,N,N,N,N,Y,N,,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,N,Y,N,N,N,N,N,,,FEMALE,PUP/CALF,Y,N,100,cm,estimate,20,kg,estimate,N,N,N,N,N,,,N,N,N,Y,,CARCASS TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,NA,,,
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,in front of yacht club,34.403,decimal degrees,estimate,-119.692,decimal degrees,estimate,Map,N,N,N,N,N,N,N,,N,,,N,N,N,N,,N,N,N,N,N,,,9/17/13,Beach or Land,Fresh Dead,9/17/13,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF,Y,N,117,cm,actual,37,lb,actual,N,N,N,N,N,,,N,Y,N,N,,,Y,complete,9/18/13,
"Dolphin, common, long-beaked",Santa Barbara,Refugio,"Refugio Beach, Lifeguard tower 2. West end",34.4628,decimal degrees,actual,-120.07196,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,7/11/16,Beach or Land,Fresh Dead,7/11/16,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,FEMALE,PUP/CALF,Y,N,113,cm,actual,60,lb,estimate,N,N,N,N,N,,,N,Y,N,N,,,Y,complete,7/11/16,
"Dolphin, common, long-beaked",Santa Barbara,Rincon,Carp Bluffs,34.385084,decimal degrees,actual,-119.498496,decimal degrees,actual,GPS,,,,CBD,,,,,,,,,,,,,,,,,,,,7/8/18,Beach or Land,Mummified/Skeletal,7/8/18,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,PUP/CALF,,,94,cm,actual,,,,Y,,,,,,,,,,,,,N,,,
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,Mesa Beach,34.395993,decimal degrees,estimate,-119.727648,decimal degrees,estimate,GPS,,,,N,,,,,,,,,,,,,,,,,,,,9/20/18,Beach or Land,Alive,9/20/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,Y,,,,,,,,,,MALE,PUP/CALF,Y,,48,in,actual,30,lb,actual,,,,,,,,,,,,,,N,,,
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,SB Harbor,34.406336,decimal degrees,estimate,-119.689119,decimal degrees,estimate,Map,,,,N,,,,,,,,,,,,,,,,,,,,6/1/20,Floating,Moderate Decomposition,6/1/20,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,PUP/CALF,Y,,,,notMeasured,,,notMeasured,,,,Y,,,,,,,,,,N,,,SB Harbor Patrol towed S. 2 miles offshore. Don't have coordinates.
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,El Capitan State Beach,34.4625861,decimal degrees,actual,-120.0263667,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,9/5/20,Beach or Land,Fresh Dead,9/5/20,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,152.4,cm,actual,100,lb,estimate,Y,,,,,,,,Y,,,,,Y,,9/5/20,
"Dolphin, common, long-beaked",Santa Barbara,Goleta,Goleta Beach Park,34.4173757,decimal degrees,actual,-119.8298453,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,10/19/20,Beach or Land,Alive,10/19/20,Alive,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,FEMALE,PUP/CALF,Y,,121.9,cm,estimate,45.36,kg,estimate,,,,,,,,,,,,,,N,,,"Long beaked common dolphin calf stranded on beach. After a period of being stabilized in knee deep water with snout pointing toward ocean, was able to swim away of its own volition."
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,Arroyo Burro Beach,34.402,decimal degrees,estimate,-119.743,decimal degrees,estimate,Map,N,N,N,CBD,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,7/21/13,Beach or Land,Fresh Dead,7/21/12,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,FEMALE,SUBADULT,Y,N,157,cm,actual,96,lb,actual,N,N,N,N,N,,,N,Y,N,N,,,Y,complete,7/21/13,
