Common Name,Date of Occurance,Date of Examination,County,City,Location Details,Latitude,Longitude,Type of Occurance,Initial Condition,Initial Disposition,Sex,Age,Length,Length Units,Weight,Weight Units,Stranding Remarks,Material Disposition,Final Disposition Remarks
CALIFORNIA SEA LION,4/17/83,,SANTA BARBARA,SANTA BARBARA,ARROYO BURRO BEACH COUNTY PARK,342345,1194400,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,,,24,LB,,,RELEASED AT ANACAPA ISLAND
CALIFORNIA SEA LION,4/17/83,,SANTA BARBARA,MONTECITO,WEST OF BUTTERFLY BEACH,342505,1193740,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,42,IN,40,LB,PERIODIC CONVULSIONS; DIED DURING THE NIGHT,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,4/20/83,,SANTA BARBARA,SANTA BARBARA,MIRAMAR HOTEL BOARDWALK,342500,1194100,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,41,IN,38,LB,,,RELEASED AT ANACAPA ISLAND
CALIFORNIA SEA LION,4/25/83,,SANTA BARBARA,ISLA VISTA,ISLA VISTA BEACH,342500,1195300,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,35,IN,17,LB,RUPTURED CORNEA,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,4/25/83,,SANTA BARBARA,SANTA BARBARA,,342500,1194100,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,37,IN,28,LB,,,RELEASED AT ANACAPA ISLAND
CALIFORNIA SEA LION,5/1/83,,SANTA BARBARA,SANTA BARBARA,"BREAKWATER, SANTA BARBARA HARBOR",342415,1194115,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,44,IN,40,LB,,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
NORTHERN ELEPHANT SEAL,5/3/83,,SANTA BARBARA,,EL CAPITAN STATE BEACH,342845,1200100,INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,53,IN,80,LB,ANIMAL SERIOUSLY WOUNDED,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,5/6/83,,SANTA BARBARA,MONTECITO,BUTTERFLY BEACH,342505,1193730,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,40,IN,40,LB,,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,5/7/83,,SANTA BARBARA,SANTA BARBARA,LEADBETTER BEACH,342500,1194100,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,ADULT,,,,,TRANSLOCATION,,TRANSLOCATED TO & RELEASED AT HOLLISTER RANCH
CALIFORNIA SEA LION,5/15/83,,SANTA BARBARA,SANTA BARBARA,"BREAKWATER, SANTA BARBARA HARBOR",342415,1194115,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,SUBADULT,50,IN,48,LB,,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,5/18/83,,SANTA BARBARA,SANTA BARBARA,MORE MESA BEACH,342500,1194600,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,UNKNOWN,35,IN,22,LB,,,DIED AT SANTA BARARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,5/19/83,,SANTA BARBARA,SANTA BARBARA,SEA LANDING IN SANTA BARBARA HARBOR,342500,1194100,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,42,IN,28,LB,,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,5/24/83,,SANTA BARBARA,SANTA BARBARA,SEA LANDING IN SANTA BARBARA HARBOR,342500,1194100,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,UNKNOWN,,,,,,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
HARBOR SEAL,6/1/83,6/1/83,SANTA BARBARA,SANTA BARBARA,SEA LANDING IN SANTA BARBARA HARBOR,,,HOOK/LINE FISHERY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,33,IN,26,LB,FIVE FISH HOOKS IN MOUTH,,RELEASED AT ELWOOD
CALIFORNIA SEA LION,6/2/83,,SANTA BARBARA,SANTA BARBARA,STEARNS WHARF,342435,1194105,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,YEARLING,39.5,IN,24,LB,,,RELEASED AT ANACAPA ISLAND
CALIFORNIA SEA LION,6/6/83,,SANTA BARBARA,GOLETA,ADJACENT TO ELLWOOD PIER,342600,1195400,UNKNOWN,FRESH DEAD,BURIED,U,UNKNOWN,,,,,SIGHTED AT PLATFORM HONDO ALIVE ON 6/16/83,,BURIED
CALIFORNIA SEA LION,6/6/83,,SANTA BARBARA,SANTA BARBARA,HENRY'S BEACH,342500,1194100,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,U,YEARLING,34,IN,,,,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,6/9/83,,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,342500,1194100,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,YEARLING,,,19,LB,,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,6/12/83,,SANTA BARBARA,,FREE BEACH 7 MILES SOUTH OF GAVIOTA,342800,1200500,SHOOTING-RELATED,ALIVE,LEFT AT SITE,U,UNKNOWN,,,,,REPORTEDLY SHOT IN CHEST; ANIMAL RETURNED TO OCEAN ON ITS OWN; FINAL STATUS OF THIS ANIMAL IS UNKNOWN,,LEFT AT SITE
CALIFORNIA SEA LION,6/12/83,,SANTA BARBARA,GAVIOTA,,342800,1201200,SHOOTING-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,UNKNOWN,,,,,ANIMAL HAD BEEN SHOT; TREATMENT OF WOUNDS & INFECTION,,DIED AT WHITE'S PET HOSPITAL
CALIFORNIA SEA LION,6/13/83,,SANTA BARBARA,CARPINTERIA,CARPINTERIA STATE BEACH,342300,1193100,UNKNOWN,ADVANCED DECOMPOSITION,BURIED,U,PUP,,,,,,,BURIED
CALIFORNIA SEA LION,6/27/83,,SANTA BARBARA,SANTA BARBARA,STEARNS WHARF,342435,1194105,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,YEARLING,44.5,IN,55,LB,,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,6/28/83,,SANTA BARBARA,SANTA BARBARA,BETWEEN HENRY'S & HOPE RANCH BEACHES,342500,1194700,HOOK/LINE FISHERY-RELATED,ALIVE,LEFT AT SITE,U,YEARLING,,,25,LB,FISH HOOK IN UPPER LIP NEAR BASE OF LEFT NOSTRIL; ANIMAL NETTED; HOOK REMOVED; ANIMAL RELEASED AT SITE; FINAL OUTCOME OF THIS ANIMAL IS UNKNOWN,,RELEASED AT SITE ON SAME DAY
CALIFORNIA SEA LION,7/3/83,,SANTA BARBARA,SANTA BARBARA,EAST BEACH,342500,1194000,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,UNKNOWN,41,IN,,,,,RELEASED AT SANTA CRUZ ISLAND
CALIFORNIA SEA LION,7/5/83,,SANTA BARBARA,SANTA BARBARA,SEA LANDING IN SANTA BARBARA HARBOR,342500,1194100,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,UNKNOWN,40,IN,,,,,RELEASED AT SANTA CRUZ ISLAND
CALIFORNIA SEA LION,7/5/83,,SANTA BARBARA,SANTA BARBARA,SEA LANDING IN SANTA BARBARA HARBOR,342500,1194100,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,UNKNOWN,41,IN,,,,,RELEASED AT SANTA CRUZ ISLAND
CALIFORNIA SEA LION,7/9/83,,SANTA BARBARA,GAVIOTA,ARROYO QUEMADO BEACH,342800,1200700,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,UNKNOWN,40.5,IN,38,LB,DIED DURING TRANSPORTATION TO SANTA BARBARA MARINE MAMMAL CENTER,,DIED DURING TRANSPORTATION TO CALIFORNIA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,7/16/83,,SANTA BARBARA,GAVIOTA,GAVIOTA STATE PARK,342800,1201200,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,UNKNOWN,39.5,IN,22,LB,,,RELEASED AT SANTA CRUZ ISLAND
CALIFORNIA SEA LION,7/25/83,7/25/83,SANTA BARBARA,MONTECITO,MIRAMAR BEACH,372930,1222730,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,UNKNOWN,108,CM,56,LB,,,DIED AT CALIFORNIA MARINE MAMMAL CENTER
GREEN SEA TURTLE,8/3/83,8/4/83,SANTA BARBARA,MONTECITO,BUTTERFLY BEACH,342505,1193730,ILLNESS-RELATED,ALIVE,SPECIMEN TO SCIENTIFIC COLLECTION,F,UNKNOWN,,,52,LB,ANIMAL BROUGHT TO ZOO BY A PRIVATE CITIZEN; EYES SUNKEN WITH HEAVY MUCUS PRIOR TO DEATH; VERY LETHARGIC,,DIED AT SANTA BARBARA ZOOLOGICAL GARDENS
CALIFORNIA SEA LION,8/13/83,8/14/83,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,342500,1194100,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,YEARLING,42.5,IN,30,LB,ABSCESSES; CONGESTED,,RELEASED AT ANACAPA ISLAND
CALIFORNIA SEA LION,9/5/83,9/5/83,SANTA BARBARA,SANTA BARBARA,SEA LANDING IN SANTA BARBARA HARBOR,342425,1194115,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,YEARLING,,,,,NOSE WOUND STITCHED,,RELEASED AT SANTA CRUZ ISLAND
CALIFORNIA SEA LION,10/1/83,10/1/83,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA MARINA,342415,1194120,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,YEARLING,38,IN,32,LB,,,RELEASED AT SANTA CRUZ ISLAND
CALIFORNIA SEA LION,10/4/83,10/4/83,SANTA BARBARA,SANTA BARBARA,STEARNS WHARF,342435,1194105,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,YEARLING,43,IN,40,LB,,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,10/23/83,10/23/83,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,342415,1194115,SHOOTING-RELATED,ALIVE,SPECIMEN TO SCIENTIFIC COLLECTION,M,SUBADULT,65,IN,,,APPROXIMATELY 4-6 YEARS OLD; CONVULSING; DEFINITELY SHOT IN JAW BUT BULLET DISINTEGRATED IN BRAIN CAVITY; UNABLE TO LOCATE ANY REMAINING PIECES,CARCASS TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,10/28/83,10/28/83,SANTA BARBARA,GOLETA,GOLETA BEACH COUNTY PARK,342500,1195000,ILLNESS-RELATED,ALIVE,SPECIMEN TO SCIENTIFIC COLLECTION,F,YEARLING,43,IN,45,LB,"MASSIVE INFECTION OF LIVER, LUNGS, & GI TRACT",CARCASS TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,11/6/83,11/6/83,SANTA BARBARA,MONTECITO,"BUTTERFLY BEACH, AT CHANNEL DRIVE",342505,1193730,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,YEARLING,36,IN,22,LB,,,SANTA BARBARA MUSEUM OF NATURAL HISTORY
HARBOR SEAL,11/18/83,,SANTA BARBARA,CARPINTERIA,100 METERS OFF OF CHEVRON PIER,342300,1193100,UNKNOWN,FRESH DEAD,SPECIMEN TO SCIENTIFIC COLLECTION,M,UNKNOWN,,,,,,,SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,11/23/83,11/23/83,SANTA BARBARA,GOLETA,GOLETA BEACH COUNTY PARK,342500,1195000,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,33,IN,12,LB,,"PELT, SKULL, & FRONT & REAR FLIPPERS TO SANTA BARBARA CITY COLLEGE (DOC-4059-F/SWR)",SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,11/25/83,11/25/83,SANTA BARBARA,,EL CAPITAN STATE BEACH,342845,1200100,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,U,UNKNOWN,46,IN,55,LB,RELEASED WITH NO TAGS,,RELEASED AT SANTA CRUZ ISLAND
NORTHERN ELEPHANT SEAL,12/15/83,,SANTA BARBARA,,ABOUT 3 MILES EAST OF POINT CONCEPTION,342700,1202600,UNKNOWN,ADVANCED DECOMPOSITION,LEFT AT SITE,M,UNKNOWN,,,,,,,LEFT AT SITE
CALIFORNIA SEA LION,12/30/83,12/31/83,SANTA BARBARA,SANTA BARBARA,ARROYO BURRO BEACH COUNTY PARK,342345,1194400,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,36,IN,17,LB,,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,1/15/84,1/16/84,SANTA BARBARA,MONTECITO,MIRAMAR BEACH,342500,1194100,ILLNESS/INJURY-RELATED,ALIVE,SPECIMEN TO SCIENTIFIC COLLECTION,M,SUBADULT,,,110,LB,,CARCASS TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSUEM OF NATURAL HISTORY
NORTHERN ELEPHANT SEAL,1/29/84,1/29/84,SANTA BARBARA,VANDENBERG AIR FORCE BASE,"MINUTEMAN BEACH, 2 MILES SOUTH OF POINT SAL, VANDENBERG AIR FORCE BASE",345250,1213820,UNKNOWN,ADVANCED DECOMPOSITION,LEFT AT SITE,F,UNKNOWN,,,,,HEAD MISSING,,LEFT AT SITE
CALIFORNIA SEA LION,1/29/84,1/30/84,SANTA BARBARA,,OIL RIG,342500,1194100,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,35,IN,21,LB,DIED IN RELEASE PROCESS; HABITUALLY RUBBING BACK,,DIED AT RELEASE; CARCASS TO SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,2/2/84,2/2/84,SANTA BARBARA,SANTA BARBARA,ARROYO BURRO BEACH COUNTY PARK,342500,1194400,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,100,CM,24,LB,,,DIED AT RELEASE SITE
CALIFORNIA SEA LION,2/5/84,2/5/84,SANTA BARBARA,SANTA BARBARA,SEA LANDING IN SANTA BARBARA HARBOR,342425,1194115,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,,,20,LB,,,RELEASED AT SANTA CRUZ ISLAND
HARBOR SEAL,2/12/84,2/12/84,SANTA BARBARA,CARPINTERIA,"CARPINTERIA STATE BEACH, BY SANTA CRUZ CAMPGROUND",342300,1193100,UNKNOWN,ADVANCED DECOMPOSITION,BURIED,U,UNKNOWN,,,,,,,BURIED
CALIFORNIA SEA LION,2/22/84,2/24/84,SANTA BARBARA,SANTA BARBARA,SHORELINE PARK,342400,1194200,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,34,IN,18,LB,,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,3/2/84,3/2/84,SANTA BARBARA,SANTA BARBARA,EAST BEACH,342600,1194000,SHOOTING-RELATED,FRESH DEAD,LANDFILL,F,UNKNOWN,138,CM,,,GUNSHOT TO HEAD,,LANDFILL
CALIFORNIA SEA LION,3/2/84,3/2/84,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,342425,1194115,ILLNESS/INJURY-RELATED,ALIVE,SPECIMEN TO SCIENTIFIC COLLECTION,M,PUP,38,IN,22,LB,,,SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,3/17/84,3/20/84,SANTA BARBARA,SANTA BARBARA,SEA LANDING IN SANTA BARBARA HARBOR,342425,1194115,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,U,PUP,39,IN,24,LB,ANIMAL LOOKED MALNOURISHED,,RELEASED AT SANTA CRUZ ISLAND
NORTHERN ELEPHANT SEAL,4/3/84,4/4/84,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR LAUNCH RAMP,342425,1194115,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,,,80,LB,,,RELEASED AT SANTA CRUZ ISLAND
NORTHERN ELEPHANT SEAL,4/13/84,4/13/84,SANTA BARBARA,SANTA BARBARA,ARROYO BURRO BEACH COUNTY PARK,342345,1194400,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,50,IN,70,LB,ORIGINALLY TAGGED 21884,,RELEASED AT SANTA CRUZ ISLAND
NORTHERN ELEPHANT SEAL,4/15/84,4/15/84,SANTA BARBARA,GOLETA,GOLETA BEACH COUNTY PARK,342500,1195000,HAUL OUT-RELATED,ALIVE,RELOCATED,U,YEARLING,75,IN,600,LB,,,RELOCATED TO HOLLISTER RANCH & RELEASED SAME DAY
PACIFIC WHITE-SIDED DOLPHIN,4/17/84,4/17/84,SANTA BARBARA,VANDENBERG AIR FORCE BASE,"1 1/2 MILES SOUTH OF SCHUMAN CREEK, VANDENBURG AIRFORCE BASE",345030,1203630,UNKNOWN,ADVANCED DECOMPOSITION,SPECIMEN TO SCIENTIFIC COLLECTION,F,UNKNOWN,199,CM,,,,SKULL ONLY TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,4/27/84,,SANTA BARBARA,GAVIOTA,JUST SOUTH OF GAVIOTA STATE PARK,342800,1201030,UNKNOWN,FRESH DEAD,LEFT AT SITE,F,PUP,,,,,,,LEFT AT SITE
